,region,year,month,mean_monthly_temperature_deviation
0,Алтайский край,2010,1,-7.51
1,Алтайский край,2010,2,-6.69
2,Алтайский край,2010,3,-0.14
3,Алтайский край,2010,4,-0.22
4,Алтайский край,2010,5,-1.64
5,Алтайский край,2010,6,0.79
6,Алтайский край,2010,7,-2.9
7,Алтайский край,2010,8,2.03
8,Алтайский край,2010,9,1.18
9,Алтайский край,2010,10,3.08
10,Алтайский край,2010,11,5.58
11,Алтайский край,2010,12,-2.91
12,Алтайский край,2011,1,-6.73
13,Алтайский край,2011,2,1.95
14,Алтайский край,2011,3,1.21
15,Алтайский край,2011,4,5.94
16,Алтайский край,2011,5,1.07
17,Алтайский край,2011,6,1.96
18,Алтайский край,2011,7,-0.59
19,Алтайский край,2011,8,0.23
20,Алтайский край,2011,9,2.07
21,Алтайский край,2011,10,4.5
22,Алтайский край,2011,11,-2.24
23,Алтайский край,2011,12,-1.51
24,Алтайский край,2012,1,-5.08
25,Алтайский край,2012,2,-5.22
26,Алтайский край,2012,3,2.84
27,Алтайский край,2012,4,6.49
28,Алтайский край,2012,5,1.19
29,Алтайский край,2012,6,3.91
30,Алтайский край,2012,7,2.4
31,Алтайский край,2012,8,2.28
32,Алтайский край,2012,9,2.03
33,Алтайский край,2012,10,0.91
34,Алтайский край,2012,11,-0.66
35,Алтайский край,2012,12,-10.72
36,Алтайский край,2013,1,2.65
37,Алтайский край,2013,2,0.86
38,Алтайский край,2013,3,4.24
39,Алтайский край,2013,4,2.24
40,Алтайский край,2013,5,-2.41
41,Алтайский край,2013,6,-2.68
42,Алтайский край,2013,7,-0.66
43,Алтайский край,2013,8,0.23
44,Алтайский край,2013,9,-0.94
45,Алтайский край,2013,10,1.31
46,Алтайский край,2013,11,4.71
47,Алтайский край,2013,12,5.68
48,Алтайский край,2014,1,1.31
49,Алтайский край,2014,2,-2.93
50,Алтайский край,2014,3,5.4
51,Алтайский край,2014,4,4.68
52,Алтайский край,2014,5,-0.03
53,Алтайский край,2014,6,-0.03
54,Алтайский край,2014,7,0.27
55,Алтайский край,2014,8,2.24
56,Алтайский край,2014,9,-2.42
57,Алтайский край,2014,10,-1.8
58,Алтайский край,2014,11,-1.36
59,Алтайский край,2014,12,0.51
60,Алтайский край,2015,1,3.08
61,Алтайский край,2015,2,3.94
62,Алтайский край,2015,3,1.35
63,Алтайский край,2015,4,1.66
64,Алтайский край,2015,5,1.34
65,Алтайский край,2015,6,1.82
66,Алтайский край,2015,7,0.92
67,Алтайский край,2015,8,1.89
68,Алтайский край,2015,9,-1.71
69,Алтайский край,2015,10,1.96
70,Алтайский край,2015,11,-2.1
71,Алтайский край,2015,12,6.6
72,Алтайский край,2016,1,-1.86
73,Алтайский край,2016,2,5.7
74,Алтайский край,2016,3,5.34
75,Алтайский край,2016,4,4.78
76,Алтайский край,2016,5,0.47
77,Алтайский край,2016,6,0.69
78,Алтайский край,2016,7,0.25
79,Алтайский край,2016,8,0.61
80,Алтайский край,2016,9,3.91
81,Алтайский край,2016,10,-6.3
82,Алтайский край,2016,11,-6.57
83,Алтайский край,2016,12,2.85
84,Алтайский край,2017,1,3.29
85,Алтайский край,2017,2,2.96
86,Алтайский край,2017,3,2.53
87,Алтайский край,2017,4,2.99
88,Алтайский край,2017,5,2.4
89,Алтайский край,2017,6,2.12
90,Алтайский край,2017,7,-0.39
91,Алтайский край,2017,8,0.72
92,Алтайский край,2017,9,-2.04
93,Алтайский край,2017,10,0.14
94,Алтайский край,2017,11,2.01
95,Алтайский край,2017,12,0.2
96,Алтайский край,2018,1,-5.09
97,Алтайский край,2018,2,1.92
98,Алтайский край,2018,3,2.38
99,Алтайский край,2018,4,0.5
100,Алтайский край,2018,5,-2.56
101,Алтайский край,2018,6,2.28
102,Алтайский край,2018,7,-1.06
103,Алтайский край,2018,8,1.52
104,Алтайский край,2018,9,-0.41
105,Алтайский край,2018,10,3.68
106,Алтайский край,2018,11,-1.78
107,Алтайский край,2018,12,-4.96
108,Алтайский край,2019,1,1.52
109,Алтайский край,2019,2,0.25
110,Алтайский край,2019,3,5.57
111,Алтайский край,2019,4,2.09
112,Алтайский край,2019,5,0.05
113,Алтайский край,2019,6,-1.66
114,Алтайский край,2019,7,0.2
115,Алтайский край,2019,8,3.48
116,Алтайский край,2019,9,0.75
117,Алтайский край,2019,10,3.73
118,Алтайский край,2019,11,-2.51
119,Алтайский край,2019,12,3.74
120,Амурская область,2010,1,2.75
121,Амурская область,2010,2,-0.24
122,Амурская область,2010,3,-2.4
123,Амурская область,2010,4,-1.23
124,Амурская область,2010,5,2.54
125,Амурская область,2010,6,3.69
126,Амурская область,2010,7,-0.27
127,Амурская область,2010,8,1.03
128,Амурская область,2010,9,1.09
129,Амурская область,2010,10,0.74
130,Амурская область,2010,11,2.46
131,Амурская область,2010,12,0.27
132,Амурская область,2011,1,3.69
133,Амурская область,2011,2,3.08
134,Амурская область,2011,3,1.13
135,Амурская область,2011,4,1.28
136,Амурская область,2011,5,1.93
137,Амурская область,2011,6,0.29
138,Амурская область,2011,7,3.34
139,Амурская область,2011,8,2.1
140,Амурская область,2011,9,-1.1
141,Амурская область,2011,10,4.26
142,Амурская область,2011,11,2.15
143,Амурская область,2011,12,1.26
144,Амурская область,2012,1,-0.48
145,Амурская область,2012,2,0.32
146,Амурская область,2012,3,-1.19
147,Амурская область,2012,4,0.27
148,Амурская область,2012,5,2.88
149,Амурская область,2012,6,2.8
150,Амурская область,2012,7,1.31
151,Амурская область,2012,8,0.5
152,Амурская область,2012,9,1.27
153,Амурская область,2012,10,-0.42
154,Амурская область,2012,11,1.26
155,Амурская область,2012,12,-0.06
156,Амурская область,2013,1,0.03
157,Амурская область,2013,2,0.07
158,Амурская область,2013,3,-2.74
159,Амурская область,2013,4,-0.95
160,Амурская область,2013,5,2.38
161,Амурская область,2013,6,0.85
162,Амурская область,2013,7,-0.36
163,Амурская область,2013,8,0.11
164,Амурская область,2013,9,0.12
165,Амурская область,2013,10,0.8
166,Амурская область,2013,11,5.35
167,Амурская область,2013,12,4.02
168,Амурская область,2014,1,0.13
169,Амурская область,2014,2,-0.46
170,Амурская область,2014,3,3.32
171,Амурская область,2014,4,6.67
172,Амурская область,2014,5,1.29
173,Амурская область,2014,6,2.93
174,Амурская область,2014,7,0.01
