station,name of station,number of region,region
20046,"Им.Э.Т.Кренкеля,ГМО",11,Архангельская область
20069,Визе,4,Красноярский край
20087,Голомянный,4,Красноярский край
20289,Русский,4,Красноярский край
20292,"Им.Е.К.Федорова,ГМО",4,Красноярский край
20476,Стерлегова,4,Красноярский край
20667,Им.М.В.Попова,71,Ямало-Ненецкий АО
20674,Диксон,4,Красноярский край
20744,Малые Кармакулы,11,Архангельская область
20891,Хатанга,4,Красноярский край
20946,Им.Е.К.Федорова,11,Ненецкий АО
20982,Волочанка,4,Красноярский край
21432,Котельный,98,Республика Саха (Якутия)
21611,Терпяй-Тумса,98,Республика Саха (Якутия)
21647,Шалаурова,98,Республика Саха (Якутия)
21802,Саскылах,98,Республика Саха (Якутия)
21824,Тикси,98,Республика Саха (Якутия)
21908,Джалинда,98,Республика Саха (Якутия)
21921,Кюсюр,98,Республика Саха (Якутия)
21931,Юбилейная,98,Республика Саха (Якутия)
21946,Чокурдах,98,Республика Саха (Якутия)
21982,Остров Врангеля,77,Чукотский АО
22003,Вайда-Губа,47,Мурманская область
22019,Полярное,47,Мурманская область
22028,Териберка,47,Мурманская область
22095,Колгуев Северный,11,Ненецкий АО
22101,Янискоски,47,Мурманская область
22113,Мурманск,47,Мурманская область
22140,Святой Нос,47,Мурманская область
22165,Канин Нос,11,Ненецкий АО
22204,Ковдор,47,Мурманская область
22217,Кандалакша,47,Мурманская область
22235,Краснощелье,47,Мурманская область
22249,Каневка,47,Мурманская область
22271,Шойна,11,Ненецкий АО
22292,Индига,11,Ненецкий АО
22324,Умба,47,Мурманская область
22355,Сосновец остров,47,Мурманская область
22408,Калевала,86,Республика Карелия
22422,Гридино,86,Республика Карелия
22438,Жижгин,11,Архангельская область
22471,Мезень,11,Архангельская область
22520,Кемь-порт,86,Республика Карелия
22550,Архангельск,11,Архангельская область
22583,Койнас,11,Архангельская область
22602,Реболы,86,Республика Карелия
22619,Паданы,86,Республика Карелия
22641,Онега,11,Архангельская область
22676,Сура,11,Архангельская область
22768,Шенкурск,11,Архангельская область
22802,Сортавала,86,Республика Карелия
22820,Петрозаводск,86,Республика Карелия
22837,Вытегра,19,Вологодская область
22845,Каргополь,11,Архангельская область
22854,Няндома,11,Архангельская область
22887,Котлас,11,Архангельская область
22892,Выборг,41,Ленинградская область
22907,Гогланд,41,Ленинградская область
22981,Великий Устюг,19,Вологодская область
23022,Амдерма,11,Ненецкий АО
23032,Марресаля,71,Ямало-Ненецкий АО
23058,Антипаюта,71,Ямало-Ненецкий АО
23074,Дудинка,4,Красноярский край
23114,Мыс Константиновский,11,Ненецкий АО
23146,Мыс Каменный,71,Ямало-Ненецкий АО
23205,Нарьян-Мар,11,Ненецкий АО
23219,Хоседа-Хард,11,Ненецкий АО
23220,Елецкая,87,Республика Коми
23242,Новый Порт,71,Ямало-Ненецкий АО
23256,Тазовск,71,Ямало-Ненецкий АО
23274,Игарка,4,Красноярский край
23324,Петрунь,87,Республика Коми
23330,Салехард,71,Ямало-Ненецкий АО
23331,Ра-Из,71,Ямало-Ненецкий АО
23345,Ныда,71,Ямало-Ненецкий АО
23365,Сидоровск,71,Ямало-Ненецкий АО
23383,Агата,4,Красноярский край
23405,Усть-Цильма,87,Республика Коми
23412,Усть-Уса,87,Республика Коми
23418,Печора,87,Республика Коми
23445,Надым,71,Ямало-Ненецкий АО
23463,Янов Стан,71,Ямало-Ненецкий АО
23472,Туруханск,4,Красноярский край
23514,Ираель,87,Республика Коми
23527,Саранпауль,,Ханты-Мансийский АО — Югра
23552,Тарко-Сале,71,Ямало-Ненецкий АО
23589,Тутончаны,4,Красноярский край
23631,Березово,71,Ханты-Мансийский АО — Югра
23656,Халясовэй,71,Ямало-Ненецкий АО
23662,Толька,71,Ямало-Ненецкий АО
23678,Верхнеимбатск,4,Красноярский край
23707,Усть-Вымь,87,Республика Коми
23711,Троицко-Печорское,87,Республика Коми
23724,Няксимволь,71,Ханты-Мансийский АО — Югра
23734,Октябрьское,71,Ханты-Мансийский АО — Югра
23804,Сыктывкар,87,Республика Коми
23849,Сургут,71,Ханты-Мансийский АО — Югра
23867,Ларьяк,71,Ханты-Мансийский АО — Югра
23884,Бор,4,Красноярский край
23891,Байкит,4,Красноярский край
23904,Койгородок,87,Республика Коми
23914,Чердынь,57,Пермский край
23921,Ивдель,65,Свердловская область
23933,Ханты-Мансийск,71,Ханты-Мансийский АО — Югра
23946,Угут,71,Ханты-Мансийский АО — Югра
23955,Александровское,69,Томская область
23966,Ванжиль-Кынак,69,Томская область
23986,Северо-Енисейский,4,Красноярский край
24076,Депутатский,98,Республика Саха (Якутия)
24105,Ессей,4,Красноярский край
24125,Оленек,98,Республика Саха (Якутия)
24136,Сухана,98,Республика Саха (Якутия)
24143,Джарджан,98,Республика Саха (Якутия)
24266,Верхоянск,98,Республика Саха (Якутия)
24329,Шелагонцы,98,Республика Саха (Якутия)
24343,Жиганск,98,Республика Саха (Якутия)
24371,Усть-Чаркы,98,Республика Саха (Якутия)
